scrape_time,keyword,product_name,product_url,seller,location,price_text,price,currency
2025-09-12T18:23:11.538879,furniture,IndiaMART,https://www.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Get Best Price,,,,,,
2025-09-12T18:23:11.538879,furniture,Advanced Search,https://www.indiamart.com/search.html,,,,,
2025-09-12T18:23:11.538879,furniture,Interior Design Furniture,https://www.indiamart.com/proddetail/interior-design-furniture-2852521074033.html?pos=1&kwd=furniture&tags=rk:T||dt:48|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Perspective 116,https://www.indiamart.com/perspective-116/?pos=1&kwd=furniture&tags=rk:T||dt:48|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Sadguru Furnitures & Wooden Works,https://www.indiamart.com/sadguru-furnitures-wooden-works/?pos=2&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Ramarajyam Timber Depot,https://www.indiamart.com/ramarajyam-timber-depot/?pos=3&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Suchitra Wood Furniture Works And Design Cuttings,https://www.indiamart.com/suchitra-wood-furniture-works-and-design-cuttings/?pos=4&kwd=furniture&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Luxury Enterprises,https://www.indiamart.com/luxury-entp/?pos=5&kwd=furniture&tags=rk:T||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,★★★★★★★★★★3(1),https://www.indiamart.com/luxury-entp/testimonial.html#reviewsratings,,,,,
2025-09-12T18:23:11.538879,furniture,furniture arch unit,https://www.indiamart.com/proddetail/furniture-arch-unit-2855526586630.html?pos=6&kwd=furniture&tags=rk:T||dt:66|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4|r=5,,,,,
2025-09-12T18:23:11.538879,furniture,"Sri Murgan Pvc, Upvc & Cupboards",https://www.indiamart.com/srimurganpvcupvc-cupboards/?pos=6&kwd=furniture&tags=rk:T||dt:66|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,★★★★★★★★★★5(2),https://www.indiamart.com/srimurganpvcupvc-cupboards/testimonial.html#reviewsratings,,,,,
2025-09-12T18:23:11.538879,furniture,"OWN Wooden Furniture, For Home",https://www.indiamart.com/proddetail/furniture-27028858255.html?pos=7&kwd=furniture&tags=rk:T||dt:65|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Kakathiya Timber Depot & Furniture Workshop,https://www.indiamart.com/kakathiya-timber-depot-furnitures-workshop/?pos=7&kwd=furniture&tags=rk:T||dt:65|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Classic Furniture,https://www.indiamart.com/classic-furniture-jangaon/?pos=8&kwd=furniture&tags=rk:C||dt:52|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Sri Raja Rajeshwara Enterprises,https://www.indiamart.com/sri-raja-rajeshwara-enterprises-karimnagar/?pos=9&kwd=furniture&tags=rk:C||dt:66|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,Laxmi Ganapathi Enterprises,https://www.indiamart.com/laxmiganapathienterprises-karimnagar/?pos=10&kwd=furniture&tags=rk:T||dt:66|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17645|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250909|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,furniture,terms,https://www.indiamart.com/terms-of-use.html,,,,,
2025-09-12T18:23:11.538879,furniture,privacy policy,https://www.indiamart.com/privacy-policy.html,,,,,
2025-09-12T18:23:11.538879,furniture,iOS App,https://itunes.apple.com/us/app/indiamart-buy-sell-products/id668561641?mt=8,,,,,
2025-09-12T18:23:11.538879,furniture,Android App,https://play.google.com/store/apps/details?id=com.indiamart.m,,,,,
2025-09-12T18:23:11.538879,furniture,https://m.indiamart.com,https://m.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Facebook,https://www.facebook.com/IndiaMART,,,,,
2025-09-12T18:23:11.538879,furniture,Twitter,https://twitter.com/IndiaMART,,,,,
2025-09-12T18:23:11.538879,furniture,linkedin,https://www.linkedin.com/company/indiamart-intermesh-limited/,,,,,
2025-09-12T18:23:11.538879,furniture,About Us,https://corporate.indiamart.com/about-us/,,,,,
2025-09-12T18:23:11.538879,furniture,IndiaMART Export,https://export.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Join Sales,https://corporate.indiamart.com/partner-with-us/,,,,,
2025-09-12T18:23:11.538879,furniture,Success Stories,https://corporate.indiamart.com/category/success-stories/,,,,,
2025-09-12T18:23:11.538879,furniture,Press Section,https://corporate.indiamart.com/category/indiamart-in-news/press-releases/,,,,,
2025-09-12T18:23:11.538879,furniture,Advertise with Us,https://corporate.indiamart.com/advertise-with-indiamart/,,,,,
2025-09-12T18:23:11.538879,furniture,Jobs & Careers,https://corporate.indiamart.com/careers-at-im/,,,,,
2025-09-12T18:23:11.538879,furniture,Help,https://help.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Feedback,https://help.indiamart.com/user-feedback/,,,,,
2025-09-12T18:23:11.538879,furniture,Complaints,https://help.indiamart.com/complaint-registration/,,,,,
2025-09-12T18:23:11.538879,furniture,Customer Care,https://corporate.indiamart.com/customer-care-services/,,,,,
2025-09-12T18:23:11.538879,furniture,Contact Us,https://corporate.indiamart.com/branch-offices/,,,,,
2025-09-12T18:23:11.538879,furniture,Suppliers Tool Kit,https://seller.indiamart.com,,,,,
2025-09-12T18:23:11.538879,furniture,Seller Tools,//seller.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Latest BuyLead,https://seller.indiamart.com/bltxn/?pref=recent,,,,,
2025-09-12T18:23:11.538879,furniture,Learning Centre,https://corporate.indiamart.com/quick-learn/,,,,,
2025-09-12T18:23:11.538879,furniture,Ship With IndiaMART,https://shipwith.indiamart.com/,,,,,
2025-09-12T18:23:11.538879,furniture,Buyers Tool Kit,//seller.indiamart.com/blgen/postbl?modid=DIR,,,,,
2025-09-12T18:23:11.538879,furniture,Post Your Requirement,https://my.indiamart.com/buyertools/postbl,,,,,
2025-09-12T18:23:11.538879,furniture,Products You Buy,https://my.indiamart.com/buyertools/myproductbuy,,,,,
2025-09-12T18:23:11.538879,furniture,Accounting Software,https://busy.in/,,,,,
2025-09-12T18:23:11.538879,furniture,Tally on Mobile,https://www.livekeeping.com/,,,,,
2025-09-12T18:23:11.538879,furniture,GST e-Invoice,https://busy.in/e-invoice-software,,,,,
2025-09-12T18:23:11.538879,furniture,Link to Us,https://www.indiamart.com/link-to-us.html,,,,,
2025-09-12T18:23:11.538879,shoes,Uma Maheshwari Traders,https://www.indiamart.com/uma-maheshwari-traders-warangal/?pos=1&kwd=shoes&tags=rk:T||dt:5|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Afreen Footwear,https://www.indiamart.com/afreen-footwear-thorrur/?pos=2&kwd=shoes&tags=rk:T||dt:48|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Thirumala Footwear,https://www.indiamart.com/thirumala-footwear/?pos=3&kwd=shoes&tags=rk:T||dt:97|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Nithin Hair Enterprises,https://www.indiamart.com/nithin-hair-enterprises/?pos=4&kwd=shoes&tags=rk:T||dt:66|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,Men SLIP ON CANVAS SHOES,https://www.indiamart.com/proddetail/slip-on-canvas-shoes-2853928639173.html?pos=5&kwd=shoes&tags=rk:A|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4|r=3,,,,,
2025-09-12T18:23:11.538879,shoes,R.S. International,https://www.kaiboshoes.com/?pos=5&kwd=shoes&tags=rk:A|plc:1|dt:1032|db:21|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC3|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:localhgmct-gl-gd|cs:18267|com-cf:nl|ptrs:na|mc:569|cat:145|qry_typ:P|lang:en|tyr:-|qrd:250909|mrd:250807|prdt:250909|msf:ls|pfen:1|gli:G0I1|gc:Hanamkonda|ic:Warangal|scw:1|v=4,,,,,
2025-09-12T18:23:11.538879,shoes,★★★★★★★★★★3.9(427),https://www.kaiboshoes.com/testimonial.html#reviewsratings,,,,,
